PRENOM,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AARVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,<5,0,<5,<5,<5,0
AARYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,<5,0,0,<5,<5,<5,<5,<5,<5,<5,<5,<5,5
AASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0
AASHIKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASHIRYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0
AASHNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0
AASIYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASIYAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,<5,<5,0,<5,<5
AASTHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,<5,0,0,0,0,0,<5,0,0,0,0,<5,0,0,0,0,0
AATHANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0
AATHINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0
AATHIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,<5,<5,0
AATHMIKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,<5,0,0,<5,0,<5
AATIKA,0,0,0,<5,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATIKAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
AAVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0
AAVANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0
AAVYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,<5
AAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAYAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
AAYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,<5
AAYAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,<5,0,<5,<5,<5,0,<5
AAYRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0
AAYUSHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,<5,0,0,0,0,0,0,0,0,0,0
ABAGAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0
ABAIGEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,<5,0,0,<5
ABANTIKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARNA,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,<5,0,0,<5,0,0,<5,0,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA GONI BAROUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,<5,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0
ABBASSIA,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBEY,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,<5,<5,0,0,0,0,<5,<5,<5,0,<5,<5,<5,<5,5,<5,<5,<5,<5,<5,<5,<5,<5,<5,0,0,0,0,0,0
ABBEYGALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,<5,0,0,0
ABBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,<5,0,0,0,0,0,0,0
ABBIE,0,0,<5,<5,0,<5,<5,0,0,<5,<5,<5,<5,0,<5,<5,<5,0,<5,0,0,<5,<5,<5,<5,<5,0,<5,<5,<5,6,<5,8,6,8,21,12,13,13,18,16,19,9,8,17
ABBIE-GAELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0,<5,0
ABBIGAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,<5,0,0,0,0,0
ABBIGAELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,<5,0,0,<5,0,0,0,0,0
ABBIGAIL,<5,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,<5,<5,0,0,0,<5,<5,<5,<5,<5,<5,<5,<5,0,<5,0,0,<5,0,<5,0,<5,0,0,0,0,0
ABBIGALE,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0
ABBIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBY,<5,0,<5,0,<5,0,<5,0,<5,<5,<5,<5,0,7,6,<5,<5,<5,<5,7,<5,6,<5,7,9,5,11,14,26,19,25,32,32,44,68,85,85,88,96,118,100,88,77,63,84
ABBYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,<5,<5,0,0,0,0,0,0
ABBY-GAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,<5,0,<5,<5
ABBYGAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,<5,0,<5,0,0,0,<5,<5,0,<5,5,<5,<5,<5,6,7,<5,10,8,11,6,10,7,7,<5,5,5
ABBY GAELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
ABBY-GAELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,10,6,<5,<5,<5,6,6,<5,<5,8,5,<5,<5
ABBYGAELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,<5,0,<5,<5,<5,<5,7,<5,5,<5,8,7,11,17,12,5,14,12,9,11,8,<5
ABBY GAIL,0,<5,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBY-GAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0
ABBYGAIL,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,<5,0,<5,0,<5,0,0,0,6,<5,<5,<5,0,<5,<5,<5,0,5,<5,7,6,8,<5,<5,<5,6,<5,<5,<5,<5,<5
ABBYGAIL-ROSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,<5,0,0
ABBY-GALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBYGALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,<5,0,<5,0,<5,0,0,0,0,0
ABBY-GAYLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
